paper,chloroplast,plastid,nuclear
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Anacker_et_al_2011_Origins_and_consequences_of_serpentine_endemism_in.txt,  <NA>,<NA>,<NA>
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt, <NA>,  <NA>,  <NA>
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Bouchenak_Khelladi_and_Linder_2017_Frequent_and_parallel_habitat_transitions_as_drive.txt,3," augmented by sequences of atpb-rbcl (266 species downloaded/52 species sequenced/data for 320 species), trnk-matk (262/47/309), trnl-f (277/52/329), psba-trnh (0/156/156), and rpl32-trnl (0/49/49).",  <NA>
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt,<NA>, <NA>, <NA>
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Bromham_et_al_2016_Detecting_Macroevolutionary_Self_Destruction_from.txt,<NA>, <NA>, <NA>
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Bruun_Lund_et_al_2018_Rush_hour_at_the_Museum_–_Diversification_patterns.txt,  <NA>,<NA>,"  was constructed based on the 5 low or single copy nuclear markers its, ets, g3pdh, ncpgs, and waxy"
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Bruy_et_al_2018_Evolution_of_plant_architecture_functional_divers.txt,<NA>, <NA>," this ultrametric phylogenetic tree was constructed under bayesian inference using one nuclear (its) and two chloroplastic (trntl, rpl32) loci."
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Cássia_Silva_et_al_2019_Niche_conservatism_drives_a_global_discrepancy_in.txt, <NA>,  <NA>,  <NA>
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Castillo_et_al_2016_Assortative_mating_and_self_fertilization_differ_i.txt, <NA>,  <NA>,  <NA>
/home/andrew/Dropbox/projects/AJH_DiveRS/pdfs_for_ssereview/contains_plants/subset//Couvreur_et_al_2014_Global_diversification_o_f_a_tropical_plant_growth.txt, <NA>,  <NA>,  <NA>
