"","sampling"
"Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt",NA
"Aliscioni_et_al_2012_New_grass_phylogeny_resolves_deep_evolutionary_rel.txt","m"
"Anacker_et_al_2011_Origins_and_consequences_of_serpentine_endemism_in.txt","m"
"Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt",NA
"Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt",NA
"Areces_Berazain_and_Ackerman_2017_Diversification_and_fruit_evolution_in_eumalvoids.txt","we created a separate file (the ‘sample_probs.txt’ file), in which we assigned sampling fractions to the species of each of the three tribes (0.15 for hibisceae, 0.50 for gossypieae and 0.11 for malveae). for fruit type, these sampling fractions were estimated as: 25% of species with capsular fruit (state 0) and 2.4% with schizocarpic fruits (state 1) for hibisceae; 50% of species of gossypieae (all with capsules); and 11% of species of malveae (all with schizocarps). for carpel number the sampling fractions were: 15% of species with five-carpellat ..."
"Armbruster_et_al_2009_Macroevolutionary_patterns_of_defense_and_pollinat.txt","although taxon sampling involved less armbruster et al. than 70% of the species"
"Azani_et_al_2019_Miocene_climate_change_as_a_driving_force_for_mult.txt",NA
"Bacon_et_al_2018_Iriarteeae_palms_tracked_the_uplift_of_Andean_Cord.txt","m"
"Bardon_et_al_2013_Origin_and_evolution_of_Chrysobalanaceae_Insights.txt","m"
"Beaulieu_and_Donoghue_2013_Fruit_evolution_and_diversification_in_campanulid.txt","m"
"Beaulieu_and_OMeara_2016_Detecting_hidden_diversification_shifts_in_models.txt",NA
"Blanco_Pastor_and_Vargas_2013_Autecological_traits_determined_two_evolutionary_s.txt","m"
"Bouchenak_Khelladi_and_Linder_2017_Frequent_and_parallel_habitat_transitions_as_drive.txt","m"
"Bouchenak_Khelladi_et_al_2014_A_revised_evolutionary_history_of_Poales_Origins.txt","sampling.f (proportion of taxa included in the phylogenetic analysis; ∼3%), which is a function that incorporates the known number of missing species. missing species need to be assigned to a particular state for each coded trait..."
"Bouchenak_Khelladi_et_al_2014_Diversification_of_C4_grasses_Poaceae_does_not_c.txt","ampling was incomplete, the bisse calculations were corrected using an implemented sampling fraction argument (sampling.f), for which a sampling fraction for each state was incorporated (i.e., number of c3 and c4 species included over the total number of extant c3 and c4 species in the pacmad 302 american journal of botany [vol. 101 february 2014] bouchenak-khelladi et al.—c4 grass diversity and ecological dominance clade; 30% and 10% for c3"
"Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt",NA
"Bromham_et_al_2016_Detecting_Macroevolutionary_Self_Destruction_from.txt","we derived sampling fraction (the estimated proportion of taxa included in the phylogeny) from the published study."
"Bruun_Lund_et_al_2018_Rush_hour_at_the_Museum_–_Diversification_patterns.txt","supplementary data ﬁle s1"
"Bruy_et_al_2018_Evolution_of_plant_architecture_functional_divers.txt","m"
"Buerki_et_al_2012_Contrasting_biogeographic_and_diversification_patt.txt","fig. s1"
"Buerki_et_al_2013_Spatio_temporal_history_of_the_disjunct_family_Tec.txt","m"
"Caetano_et_al_2018_Hidden_state_models_improve_state_dependent_divers.txt","m"
"Canal_et_al_2019_Out_of_Amazonia_and_Back_Again_Historical_Biogeog.txt","our taxon sampling includes six of 21 species accepted in subgenus meconostigma, 144 of ;460 species of subgenus philodendron, and 23 of 82 species of subgenus pteromischum..  we specified the fraction of missing species of philodendron under the assumption of random taxon sampling (fitzjohn et al., 2009). the sampling fraction was calculated as a ratio of the number of species included divided by the total number of species estimated for each region: a 5 53/280, b 5 65/180, and ab 5 43/90."
"Cano_et_al_2018_The_roles_of_dispersal_and_mass_extinction_in_shap.txt","m"
"Cánovas_et_al_2011_Driving_south_A_multi_gene_phylogeny_of_the_brown.txt","m"
"Cardillo_and_Pratt_2013_Evolution_of_a_hotspot_genus_Geographic_variation.txt","m"
"Cássia_Silva_et_al_2019_Niche_conservatism_drives_a_global_discrepancy_in.txt","m"
"Castillo_et_al_2016_Assortative_mating_and_self_fertilization_differ_i.txt",NA
"Chauveau_et_al_2012_Oil_producing_flowers_within_the_Iridoideae_Irida.txt",NA
"Condamine_et_al_2017_Ancient_islands_acted_as_refugia_and_pumps_for_con.txt","increases the ratio to 16.4% (63/384), and to 19.2% (58/302)"
"Couvreur_et_al_2014_Global_diversification_o_f_a_tropical_plant_growth.txt",NA
"Day_et_al_2016_Is_specialization_an_evolutionary_dead_end_Testin.txt",NA
"De_Casas_et_al_2016_The_influence_of_habitat_on_the_evolution_of_plant.txt",NA
"de_Vos_et_al_2014_Heterostyly_accelerates_diversification_via_reduce.txt","we sampled 265 out of ca 730 species of primulaceae"
"Drummond_et_al_2012_Multiple_continental_radiations_and_correlates_of.txt",NA
"Duan_et_al_2018_Evolution_of_sexual_systems_and_growth_habit_in_Mu.txt","m"
"Ebersbach_et_al_2017_Evolutionary_radiations_in_the_species_rich_mounta.txt","additional file 6"
"Estep_et_al_2014_Allopolyploidy_diversification_and_the_Miocene_g.txt","assuming a sampling fraction of 8%"
"Feldberg_et_al_2014_Epiphytic_leafy_liverworts_diversified_in_angiospe.txt","m"
"Fernández_Mazuecos_et_al_2013_Corolla_morphology_influences_diversification_rate.txt","m"
"Fernández_Mazuecos_et_al_2019_Macroevolutionary_dynamics_of_nectar_spurs_a_key.txt","incomplete sampling was accounted for by including state-specific sampling fractions according to each taxonomic treatment"
"Folk_and_Freudenstein_2014_Phylogenetic_relationships_and_character_evolution.txt","m"
"Forest_et_al_2014_Pollinator_shifts_as_triggers_of_speciation_in_pai.txt","m"
"Frenzke_et_al_2016_Evolution_of_epiphytism_and_fruit_traits_act_uneve.txt",NA
"Freudenstein_and_Chase_2015_Phylogenetic_relationships_in_Epidendroideae_Orch.txt","m"
"Freyman_and_Höhna_2019_Stochastic_character_mapping_of_state_dependent_di.txt","he species sampling fraction of extant onagraceae species was thus  = 292/650 = 0.45"
"Gamisch_et_al_2015_Multiple_independent_origins_of_auto_pollination_i.txt","m"
"Givnish_et_al_2014_Adaptive_radiation_correlated_and_contingent_evol.txt","m"
"Givnish_et_al_2016_Orchid_historical_biogeography_diversification_A.txt","m"
"Goldberg_and_Igic_2012_Tempo_and_mode_in_plant_breeding_system_evolution.txt","assuming uniform sampling effort across the tree within each character state, the probability of a species being included in the analysis was 0.163 for si species and 0.150 for sc species"
"Goldberg_et_al_2010_Species_selection_maintains_self_incompatibility.txt","we include the correction for incomplete sampling (s18): the probability of being sampled in the tree is 0.162 for si species and 0.150 for sc species."
"Goldberg_et_al_2011_Phylogenetic_inference_of_reciprocal_effects_betwe.txt","m"
"Goldberg_et_al_2017_Macroevolutionary_synthesis_of_flowering_plant_sex.txt",NA
"Han_et_al_2020_Polyploidy_promotes_species_diversification_of_All.txt","m"
"Hanschen_et_al_2018_Repeated_evolution_and_reversibility_of_self_ferti.txt","herefore, we did not include a correction 407 for incomplete sampling of each state.our taxon sampling of described 535 species is relatively complete (69 of 79 species, 87%)"
"Hernández_Hernández_et_al_2014_Beyond_aridification_Multiple_explanations_for_th.txt","m"
"Herrera_Alsina_et_al_2019_Detecting_the_Dependence_of_Diversification_on_Mul.txt",NA
"Hipp_et_al_2018_Sympatric_parallel_diversification_of_major_oak_cl.txt","m"
"Horn_et_al_2014_Evolutionary_bursts_in_Euphorbia_Euphorbiaceae_a.txt",NA
"Howard_et_al_2020_Geophytism_in_monocots_leads_to_higher_rates_of_di.txt","m"
"Igea_and_Tanentzap_2020_Angiosperm_speciation_cools_down_in_the_tropics.txt",NA
"Jansson_et_al_2013_What_can_multiple_phylogenies_say_about_the_latitu.txt","m"
"Johnson_et_al_2011_Loss_of_sexual_recombination_and_segregation_is_as.txt","because there are 43 asexual species, only 29 of which are represented on the tree, the skeletal tree method weights each pth tip species by its probability of being sampled, given its state, set to the sampling fraction 29/43. similarly, the sampling fraction for sexual species is 84 of 219"
"Johnson_et_al_2013_Ancestral_deceit_and_labile_evolution_of_nectar_pr.txt",NA
