order,family,no_genera,no_species
Cycadales,Cycadaceae,1,107
Cycadales,Zamiaceae,9,230
Ginkgoales,Ginkgoaceae,1,1
Welwitschiales,Welwitschiaceae,1,1
Gnetales,Gnetaceae,1,43
Ephedrales,Ephedraceae,1,68
Pinales,Pinaceae,11,228
Araucariales,Araucariaceae,3,37
Araucariales,Podocarpaceae,19,187
Cupressales,Sciadopityaceae,1,1
Cupressales,Cupressaceae,29,149
Cupressales,Taxaceae,6,27
Amborellales,Amborellaceae,1,1
Nymphaeales,Hydatellaceae,1,12
Nymphaeales,Cabombaceae,2,6
Nymphaeales,Nymphaeaceae,5,70
Austrobaileyales,Austrobaileyaceae,1,1
Austrobaileyales,Trimeniaceae,1,8
Austrobaileyales,Schisandraceae,3,85
Canellales,Canellaceae,5,23
Canellales,Winteraceae,5,65
Piperales,Saururaceae,4,6
Piperales,Piperaceae,5,3700
Piperales,Aristolochiaceae,7,500
Magnoliales,Myristicaceae,21,520
Magnoliales,Magnoliaceae,2,294
Magnoliales,Degeneriaceae,1,2
Magnoliales,Himantandraceae,1,2
Magnoliales,Eupomatiaceae,1,3
Magnoliales,Annonaceae,105,2500
Laurales,Calycanthaceae,3,10
Laurales,Siparunaceae,2,75
Laurales,Gomortegaceae,1,1
Laurales,Atherospermataceae,6,16
Laurales,Hernandiaceae,5,58
Laurales,Monimiaceae,24,217
Laurales,Lauraceae,45,2850
Chloranthales,Chloranthaceae,4,77
Acorales,Acoraceae,1,2
Alismatales,Araceae,114,3750
Alismatales,Tofieldiaceae,4,28
Alismatales,Alismataceae,17,115
Alismatales,Butomaceae,1,1
Alismatales,Hydrocharitaceae,16,135
Alismatales,Scheuchzeriaceae,1,1
Alismatales,Aponogetonaceae,1,56
Alismatales,Juncaginaceae,3,34
Alismatales,Maundiaceae,1,1
Alismatales,Zosteraceae,2,22
Alismatales,Potamogetonaceae,6,110
Alismatales,Posidoniaceae,1,9
Alismatales,Ruppiaceae,1,8
Alismatales,Cymodoceaceae,5,17
Petrosaviales,Petrosaviaceae,2,4
Dioscoreales,Nartheciaceae,5,35
Dioscoreales,Burmanniaceae,8,99
Dioscoreales,Dioscoreaceae,9,715
Pandanales,Triuridaceae,9,55
Pandanales,Velloziaceae,5,306
Pandanales,Stemonaceae,4,37
Pandanales,Cyclanthaceae,12,230
Pandanales,Pandanaceae,5,982
Liliales,Campynemataceae,2,4
Liliales,Corsiaceae,3,27
Liliales,Melanthiaceae,17,173
Liliales,Petermanniaceae,1,1
Liliales,Alstroemeriaceae,4,254
Liliales,Colchicaceae,15,285
Liliales,Philesiaceae,2,2
Liliales,Ripogonaceae,1,6
Liliales,Smilacaceae,1,255
Liliales,Liliaceae,15,705
Asparagales,Orchidaceae,736,28000
Asparagales,Boryaceae,2,12
Asparagales,Blandfordiaceae,1,4
Asparagales,Asteliaceae,3,37
Asparagales,Lanariaceae,1,1
Asparagales,Hypoxidaceae,4,159
Asparagales,Doryanthaceae,1,2
Asparagales,Ixioliriaceae,1,4
Asparagales,Tecophilaeaceae,9,27
Asparagales,Iridaceae,66,2244
Asparagales,Xeronemataceae,1,2
Asparagales,Asphodelaceae,39,900
Asparagales,Amaryllidaceae,75,1600
Asparagales,Asparagaceae,114,2900
Arecales,Dasypogonaceae,4,16
Arecales,Arecaceae,181,2600
Commelinales,Hanguanaceae,1,12
Commelinales,Commelinaceae,41,731
Commelinales,Philydraceae,3,6
Commelinales,Pontederiaceae,6,34
Commelinales,Haemodoraceae,14,102
Zingiberales,Strelitziaceae,3,7
Zingiberales,Lowiaceae,1,18
Zingiberales,Heliconiaceae,1,194
Zingiberales,Musaceae,3,91
Zingiberales,Cannaceae,1,10
Zingiberales,Marantaceae,29,570
Zingiberales,Costaceae,7,143
Zingiberales,Zingiberaceae,50,1600
Poales,Typhaceae,2,51
Poales,Bromeliaceae,51,3475
Poales,Rapateaceae,16,94
Poales,Xyridaceae,5,399
Poales,Eriocaulaceae,7,1207
Poales,Mayacaceae,1,6
Poales,Thurniaceae,2,4
Poales,Juncaceae,8,464
Poales,Cyperaceae,90,5500
Poales,Restionaceae,51,572
Poales,Flagellariaceae,1,4
Poales,Joinvilleaceae,1,4
