order,no_species
Amborellales,1
Nymphaeales,74
Austrobaileyales,100
Chloranthales,75
Magnoliales,2929
Laurales,2858
Canellales,90
Piperales,4090
Acorales,3
Alismatales,4560
Petrosaviales,4
Dioscoreales,1037
Pandanales,1345
Liliales,1558
Asparagales,36135
Arecales,2361
Poales,18875
Commelinales,812
Zingiberales,2185
Ceratophyllales,2
Ranunculales,4510
Sabiales,100
Proteales,1750
Trochodendrales,2
Buxales,120
Gunnerales,46
Dilleniales,300
Saxifragales,2500
Vitales,850
Zygophyllales,305
Celastrales,1335
Oxalidales,1815
Malpighiales,15975
Fabales,20140
Rosales,7725
Cucurbitales,2295
Fagales,1055
Geraniales,836
Myrtales,11731
Crossosomatales,66
Picramniales,49
Sapindales,6700
Huerteales,24
Malvales,6005
Brassicales,4765
Santalales,1992
Berberidopsidales,4
Caryophyllales,11510
Cornales,590
Ericales,11545
Garryales,18
Gentianales,19840
Lamiales,23810
Solanales,4125
Aquifoliales,536
Asterales,26870
Escalloniales,130
Bruniales,79
Apiales,5489
Paracryphiales,36
Dipsacales,1090
Boraginales,3120
