study,year,sse_model,model_no,trait_level_1,trait_level_2,trait_level_3,trait_level_4,trait_level_5,trait_level_6,character_state,putative_ancestral_state,clade,level,order,family,div_inc,sp_inc,ext_inc,no_markers,no_plastid,no_nuclear,no_mito,age,age_inferred,tips,perc_sampling,sampling_per_state,samples_per_state,transition_direction,transition_rate,div_rate
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,HiSSE,1,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Africa,,Velloziaceae,Family,Pandanales,Velloziaceae,0,0,0,4,3,1,0,74.3,1,150,0.5660377358,,20,,,
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,HiSSE,1,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,South America,,Velloziaceae,Family,Pandanales,Velloziaceae,1,0,0,4,3,1,0,74.3,1,150,0.5660377358,,130,,,
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,HiSSE,2,Intrinsic,Vegetative,Physiology,Physiology,Physiology,Physiology,Aerial stem absence,0,Velloziaceae,Family,Pandanales,Velloziaceae,0,0,0,4,3,1,0,74.3,1,150,0.5660377358,,64,,,
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,HiSSE,2,Intrinsic,Vegetative,Physiology,Physiology,Physiology,Physiology,Aerial stem presence,1,Velloziaceae,Family,Pandanales,Velloziaceae,0,0,0,4,3,1,0,74.3,1,150,0.5660377358,,86,,,
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,BiSSE,3,Intrinsic,Vegetative,Physiology,Physiology,Physiology,Physiology,Aerial stem absence,1,Barbacenia,Genus,Pandanales,Velloziaceae,0,0,0,4,3,1,0,20,1,48,0.4615384615,,43,,,
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,BiSSE,3,Intrinsic,Vegetative,Physiology,Physiology,Physiology,Physiology,Aerial stem presence,0,Barbacenia,Genus,Pandanales,Velloziaceae,0,0,0,4,3,1,0,20,1,48,0.4615384615,,5,,,
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,HiSSE,4,Intrinsic,Vegetative,Physiology,Physiology,Physiology,Physiology,Aerial stem absence,0,"Vellozia,Barbaceniopsis",Genus,Pandanales,Velloziaceae,0,0,0,4,3,1,0,43,1,81,0.6428571429,,15,,,
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,HiSSE,4,Intrinsic,Vegetative,Physiology,Physiology,Physiology,Physiology,Aerial stem presence,1,"Vellozia,Barbaceniopsis",Genus,Pandanales,Velloziaceae,1,0,0,4,3,1,0,43,1,81,0.6428571429,,66,,,
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,HiSSE,5,Intrinsic,Vegetative,Physiology,Physiology,Physiology,Physiology,Aquiferous parenchyma absence,1,Velloziaceae,Family,Pandanales,Velloziaceae,0,0,0,4,3,1,0,74.3,1,149,0.5660377358,,110,,,
Alcantara_et_al_2018_Accelerated_diversification_and_functional_trait_e.txt,2018,HiSSE,5,Intrinsic,Vegetative,Physiology,Physiology,Physiology,Physiology,Aquiferous parenchyma presence,0,Velloziaceae,Family,Pandanales,Velloziaceae,1,0,0,4,3,1,0,74.3,1,149,0.5660377358,,39,,,
Aliscioni_et_al_2012_New_grass_phylogeny_resolves_deep_evolutionary_rel.txt,2012,BiSSE,1,Intrinsic,Vegetative,Physiology,Photosynthesis,Photosynthesis,Photosynthesis,C3,1,PACMAD,Family,Poales,Poaceae,0,0,0,3,3,0,0,NA,0,209,0.019,,57,C3C4,0.00478,0.06037
Aliscioni_et_al_2012_New_grass_phylogeny_resolves_deep_evolutionary_rel.txt,2012,BiSSE,1,Intrinsic,Vegetative,Physiology,Photosynthesis,Photosynthesis,Photosynthesis,C4,0,PACMAD,Family,Poales,Poaceae,1,1,1,3,3,0,0,NA,0,209,0.019,,166,C4C3,0.0001,0.09458
Anacker_et_al_2011_Origins_and_consequences_of_serpentine_endemism_in.txt,2011,BiSSE,1,Extrinsic,Habitat,Soil,Soil,Soil,Soil,Non-endemics,1,Angiosperms,Flora,Multiple,Multiple,1,1,1,,,,,NA,0,784,0.1351724138,0.1319769535,733,Endemics TO non-endemics,3,1.25
Anacker_et_al_2011_Origins_and_consequences_of_serpentine_endemism_in.txt,2011,BiSSE,1,Extrinsic,Habitat,Soil,Soil,Soil,Soil,Serpentine endemics,0,Angiosperms,Flora,Multiple,Multiple,0,0,0,,,,,NA,0,784,0.1351724138,0.2073170732,51,Non-endemics TO endemics,0.75,0
Anacker_et_al_2011_Origins_and_consequences_of_serpentine_endemism_in.txt,2011,GeoSSE,2,Extrinsic,Habitat,Soil,Soil,Soil,Soil,Other,1,Angiosperms,Flora,Multiple,Multiple,1,1,0,,,,,NA,0,784,0.1351724138,0.1319769535,733,,,0.05
Anacker_et_al_2011_Origins_and_consequences_of_serpentine_endemism_in.txt,2011,GeoSSE,2,Extrinsic,Habitat,Soil,Soil,Soil,Soil,Serpentine soils,0,Angiosperms,Flora,Multiple,Multiple,0,0,1,,,,,NA,0,784,0.1351724138,0.2073170732,229,,,-10
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,BiSSE,1,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerColor,Green flower,0,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,190,0.4,,53,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,BiSSE,1,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerColor,White flower,1,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,190,0.4,,137,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,MuSSE,2,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerSize,Large flower,0,Angraecineae,Tribe,Asparagales,Orchidaceae,1,1,0,4,3,1,0,26.1,1,194,0.4,,27,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,MuSSE,2,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerSize,Medium flower,1,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,194,0.4,,71,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,MuSSE,2,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerSize,Small flower,0,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,194,0.4,,82,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,MuSSE,2,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerSize,Very large flower,0,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,194,0.4,,14,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,BiSSE,3,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerShape,Lowermost labellum,1,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,194,0.4,,127,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,BiSSE,3,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerShape,Uppermost labellum,0,Angraecineae,Tribe,Asparagales,Orchidaceae,1,1,0,4,3,1,0,26.1,1,194,0.4,,67,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,MuSSE,4,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerShape,Long spur,0,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,194,0.4,,3,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,MuSSE,4,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerShape,Medium spur,0,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,194,0.4,,19,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,MuSSE,4,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerShape,Short spur,1,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,194,0.4,,109,,,
Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt,2016,MuSSE,4,Intrinsic,Reproduction,Pre-mating,FlowerMorpho,FlowerGeneral,FlowerShape,Very long spur,0,Angraecineae,Tribe,Asparagales,Orchidaceae,0,0,0,4,3,1,0,26.1,1,194,0.4,,63,,,
Anest_et_al_Evolving_the_structure_climatic_and_developmental,2021,MuSSE,1,Intrinsic,Vegetative,Morphology,PlantArchitecture,NrOfAxisCategories,NrOfAxisCategories,1 axis category,1,Euphorbia,Genus,Malpighiales,Euphorbiaceae,0,0,0,9,6,3,0,48.2,1,193,0.08,,130,,,
Anest_et_al_Evolving_the_structure_climatic_and_developmental,2021,MuSSE,1,Intrinsic,Vegetative,Morphology,PlantArchitecture,NrOfAxisCategories,NrOfAxisCategories,2 axis categories,0,Euphorbia,Genus,Malpighiales,Euphorbiaceae,0,0,0,9,6,3,0,48.2,1,193,0.08,,44,,,
Anest_et_al_Evolving_the_structure_climatic_and_developmental,2021,MuSSE,1,Intrinsic,Vegetative,Morphology,PlantArchitecture,NrOfAxisCategories,NrOfAxisCategories,3 axis categories,0,Euphorbia,Genus,Malpighiales,Euphorbiaceae,0,0,0,9,6,3,0,48.2,1,193,0.08,,15,,,
Anest_et_al_Evolving_the_structure_climatic_and_developmental,2021,MuSSE,1,Intrinsic,Vegetative,Morphology,PlantArchitecture,NrOfAxisCategories,NrOfAxisCategories,4 axis categories,0,Euphorbia,Genus,Malpighiales,Euphorbiaceae,0,0,0,9,6,3,0,48.2,1,193,0.08,,4,,,
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,1,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Apiales,Order,Apiales,Multiple,0,1,1,7,4,3,0,91.7,1,478,0.1535003211,0.17,380,,,0.048484109
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,1,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Apiales,Order,Apiales,Multiple,1,0,0,7,4,3,0,91.7,1,478,0.1535003211,0.07,100,,,0.105386793
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,2,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Asparagales,Order,Asparagales,Multiple,1,0,0,7,4,3,0,124.9,1,1601,0.1147176842,0.13,877,,,0.0685804
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,2,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Asparagales,Order,Asparagales,Multiple,0,1,1,7,4,3,0,124.9,1,1601,0.1147176842,0.08,731,,,0.002966219
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,3,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Asterales,Order,Asterales,Multiple,0,1,1,7,4,3,0,83.7,1,1958,0.101910165,0.12,1707,,,-0.193635432
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,3,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Asterales,Order,Asterales,Multiple,1,0,0,7,4,3,0,83.7,1,1958,0.101910165,0.03,260,,,0.454537665
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,4,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Brassicales,Order,Brassicales,Multiple,0,1,1,7,4,3,0,77.7,1,497,0.1687606112,0.17,435,,,0.044333016
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,4,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Brassicales,Order,Brassicales,Multiple,1,0,0,7,4,3,0,77.7,1,497,0.1687606112,0.07,64,,,0.102427261
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,5,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Carophyllales,Order,Caryophyllales,Multiple,0,1,1,7,4,3,0,89.5,1,945,0.1182432432,0.11,761,,,0.047058725
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,5,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Carophyllales,Order,Caryophyllales,Multiple,0,0,0,7,4,3,0,89.5,1,945,0.1182432432,0.07,200,,,0.050566967
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,6,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Ericales,Order,Ericales,Multiple,0,0,0,7,4,3,0,92.4,1,1233,0.1484647803,0.18,746,,,0.057354149
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,6,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Ericales,Order,Ericales,Multiple,0,0,0,7,4,3,0,92.4,1,1233,0.1484647803,0.09,498,,,0.034829545
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,7,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Fabales,Order,Fabales,Multiple,0,1,1,7,4,3,0,72,1,2050,0.1362216759,0.13,1161,,,0.030740737
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,7,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Fabales,Order,Fabales,Multiple,1,0,0,7,4,3,0,72,1,2050,0.1362216759,0.09,905,,,0.067259156
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,8,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Gentianales,Order,Gentianales,Multiple,0,1,1,7,4,3,0,58.8,1,1052,0.09082275749,0.07,307,,,0.060477175
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,8,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Gentianales,Order,Gentianales,Multiple,1,0,0,7,4,3,0,58.8,1,1052,0.09082275749,0.08,744,,,0.112873718
