"","x"
"1","Aliscioni_et_al_2012_New_grass_phylogeny_resolves_deep_evolutionary_rel.txt"
"2","Anacker_et_al_2011_Origins_and_consequences_of_serpentine_endemism_in.txt"
"3","Andriananjamanantsoa_et_al_2016_Diversification_of_angraecum_Orchidaceae_Vandeae.txt"
"4","Areces_Berazain_and_Ackerman_2017_Diversification_and_fruit_evolution_in_eumalvoids.txt"
"5","Areces_Berazain_and_Ackerman_2017_Diversification_and_fruit_evolution_in_eumalvoids.txt"
"6","Azani_et_al_2019_Miocene_climate_change_as_a_driving_force_for_mult.txt"
"7","Beaulieu_and_Donoghue_2013_Fruit_evolution_and_diversification_in_campanulid.txt"
"8","Beaulieu_and_Donoghue_2013_Fruit_evolution_and_diversification_in_campanulid.txt"
"9","Blanco_Pastor_and_Vargas_2013_Autecological_traits_determined_two_evolutionary_s.txt"
"10","Bouchenak_Khelladi_et_al_2014_A_revised_evolutionary_history_of_Poales_Origins.txt"
"11","Bouchenak_Khelladi_et_al_2014_A_revised_evolutionary_history_of_Poales_Origins.txt"
"12","Bouchenak_Khelladi_et_al_2014_A_revised_evolutionary_history_of_Poales_Origins.txt"
"13","Bouchenak_Khelladi_et_al_2014_Diversification_of_C4_grasses_Poaceae_does_not_c.txt"
"14","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"15","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"16","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"17","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"18","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"19","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"20","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"21","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"22","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"23","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"24","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"25","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
